Ionview,125,1705,600,3730,2400,225,135,235,175,35,10
Dorset Park,126,2205,2745,7245,3430,270,265,810,795,25,65
Bendale,127,1910,4400,8305,2885,530,310,335,815,205,155
Agincourt South-Malvern West,128,1545,11110,4190,1280,230,155,300,375,140,40
Agincourt North,129,1340,16460,5315,1420,170,260,275,125,70,60
Milliken,130,1070,18715,3080,1015,35,240,165,130,0,35
Rouge,131,6525,2100,20175,4095,495,295,395,535,65,105
Malvern,132,8295,3275,17465,4830,770,200,365,650,75,30
Centennial Scarborough,133,945,710,2475,785,115,55,175,100,40,85
Highland Creek,134,1550,955,4515,805,205,85,85,100,130,35
Morningside,135,3065,880,5155,1865,345,210,135,270,65,65
West Hill,136,5835,685,5060,2330,555,215,115,510,80,55
Woburn,137,5835,3715,21545,4090,745,315,610,1320,210,100
Eglinton East,138,4130,895,6490,2970,400,195,240,555,40,65
Scarborough Village,139,3330,390,5520,950,280,70,140,570,20,20
Guildwood,140,625,275,815,490,120,70,30,45,45,100
